# file...... feeder_3_power.csv
# date...... Sat Sep 26 23:35:38 2009
# user...... glduser
# host...... (null)
# target.... regulator 4891
# trigger... (none)
# interval.. 300
# limit..... 312
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,tap_A,tap_B,tap_C
2000-07-11 04:45:00 MDT,+3.48308e+006,+1.47391e+006,+3.47782e+006,+1.46948e+006,+3.50472e+006,+1.49852e+006,7,7,7
2000-07-11 04:50:00 MDT,+3.46814e+006,+1.48865e+006,+3.40935e+006,+1.48041e+006,+3.51092e+006,+1.51373e+006,7,7,7
2000-07-11 04:55:00 MDT,+3.50437e+006,+1.4881e+006,+3.5345e+006,+1.48618e+006,+3.53504e+006,+1.5136e+006,7,7,7
2000-07-11 05:00:00 MDT,+3.61253e+006,+1.49378e+006,+3.50486e+006,+1.48253e+006,+3.61325e+006,+1.51621e+006,7,7,7
2000-07-11 05:05:00 MDT,+3.63971e+006,+1.50709e+006,+3.58718e+006,+1.49992e+006,+3.62568e+006,+1.52935e+006,7,7,7
2000-07-11 05:10:00 MDT,+3.62868e+006,+1.50673e+006,+3.58172e+006,+1.49973e+006,+3.6297e+006,+1.52978e+006,7,7,7
2000-07-11 05:15:00 MDT,+3.63773e+006,+1.50618e+006,+3.62167e+006,+1.50151e+006,+3.64522e+006,+1.53017e+006,7,7,7
2000-07-11 05:20:00 MDT,+3.60131e+006,+1.47181e+006,+3.54762e+006,+1.46482e+006,+3.56131e+006,+1.49189e+006,7,7,7
2000-07-11 05:25:00 MDT,+3.4895e+006,+1.46814e+006,+3.42926e+006,+1.46058e+006,+3.50776e+006,+1.492e+006,7,7,7
2000-07-11 05:30:00 MDT,+3.43863e+006,+1.4669e+006,+3.36883e+006,+1.45844e+006,+3.47084e+006,+1.49118e+006,7,7,7
2000-07-11 05:35:00 MDT,+3.38571e+006,+1.43171e+006,+3.34224e+006,+1.4254e+006,+3.4187e+006,+1.45619e+006,7,7,7
2000-07-11 05:40:00 MDT,+3.43621e+006,+1.43332e+006,+3.41112e+006,+1.4284e+006,+3.42804e+006,+1.45529e+006,7,7,7
2000-07-11 05:45:00 MDT,+3.4604e+006,+1.43446e+006,+3.38956e+006,+1.42664e+006,+3.45911e+006,+1.45727e+006,7,7,7
2000-07-11 05:50:00 MDT,+3.35837e+006,+1.4184e+006,+3.30619e+006,+1.41128e+006,+3.39513e+006,+1.4426e+006,7,7,7
2000-07-11 05:55:00 MDT,+3.39449e+006,+1.4198e+006,+3.31836e+006,+1.41169e+006,+3.39544e+006,+1.44211e+006,7,7,7
2000-07-11 06:00:00 MDT,+3.42153e+006,+1.42074e+006,+3.35703e+006,+1.41315e+006,+3.4111e+006,+1.44197e+006,7,7,7
2000-07-11 06:05:00 MDT,+3.58569e+006,+1.44601e+006,+3.56582e+006,+1.44145e+006,+3.56421e+006,+1.46773e+006,7,7,7
2000-07-11 06:10:00 MDT,+3.61164e+006,+1.44726e+006,+3.57024e+006,+1.44053e+006,+3.60513e+006,+1.46944e+006,7,7,7
2000-07-11 06:15:00 MDT,+3.62133e+006,+1.44819e+006,+3.55106e+006,+1.44001e+006,+3.58645e+006,+1.46833e+006,7,7,7
2000-07-11 06:20:00 MDT,+3.68921e+006,+1.47567e+006,+3.64321e+006,+1.46884e+006,+3.66411e+006,+1.4966e+006,7,7,7
2000-07-11 06:25:00 MDT,+3.68237e+006,+1.47491e+006,+3.6444e+006,+1.46887e+006,+3.67025e+006,+1.49743e+006,7,7,7
2000-07-11 06:30:00 MDT,+3.72461e+006,+1.47749e+006,+3.63119e+006,+1.46802e+006,+3.6709e+006,+1.49677e+006,7,7,7
2000-07-11 06:35:00 MDT,+3.77238e+006,+1.50489e+006,+3.68328e+006,+1.4959e+006,+3.68808e+006,+1.52224e+006,7,7,7
2000-07-11 06:40:00 MDT,+3.78309e+006,+1.50422e+006,+3.71846e+006,+1.49617e+006,+3.77578e+006,+1.52718e+006,7,7,7
2000-07-11 06:45:00 MDT,+3.79856e+006,+1.50494e+006,+3.72929e+006,+1.49692e+006,+3.75695e+006,+1.5253e+006,7,7,7
2000-07-11 06:50:00 MDT,+3.8685e+006,+1.53147e+006,+3.80437e+006,+1.52375e+006,+3.82394e+006,+1.55216e+006,7,7,7
2000-07-11 06:55:00 MDT,+3.89387e+006,+1.53277e+006,+3.80321e+006,+1.52404e+006,+3.80825e+006,+1.55061e+006,7,7,7
2000-07-11 07:00:00 MDT,+3.88089e+006,+1.53198e+006,+3.82318e+006,+1.52525e+006,+3.80758e+006,+1.55064e+006,7,7,7
2000-07-11 07:05:00 MDT,+3.88863e+006,+1.54145e+006,+3.84495e+006,+1.55023e+006,+3.85879e+006,+1.57977e+006,8,7,7
2000-07-11 07:10:00 MDT,+3.8963e+006,+1.54201e+006,+3.84238e+006,+1.5494e+006,+3.90411e+006,+1.58187e+006,8,7,7
2000-07-11 07:15:00 MDT,+3.90361e+006,+1.54201e+006,+3.84545e+006,+1.55074e+006,+3.86048e+006,+1.56378e+006,8,7,8
2000-07-11 07:20:00 MDT,+3.97015e+006,+1.5665e+006,+3.94502e+006,+1.57792e+006,+3.90815e+006,+1.58814e+006,8,7,8
2000-07-11 07:25:00 MDT,+3.8984e+006,+1.56398e+006,+3.90015e+006,+1.57716e+006,+3.84904e+006,+1.58571e+006,8,7,8
2000-07-11 07:30:00 MDT,+3.95758e+006,+1.56868e+006,+3.83541e+006,+1.57303e+006,+3.84348e+006,+1.58476e+006,8,7,8
2000-07-11 07:35:00 MDT,+3.92752e+006,+1.58691e+006,+3.87306e+006,+1.59494e+006,+3.93923e+006,+1.61234e+006,8,7,8
2000-07-11 07:40:00 MDT,+3.92862e+006,+1.58757e+006,+3.84534e+006,+1.59445e+006,+3.88932e+006,+1.60942e+006,8,7,8
2000-07-11 07:45:00 MDT,+3.91724e+006,+1.58599e+006,+3.898e+006,+1.59747e+006,+3.8857e+006,+1.60953e+006,8,7,8
2000-07-11 07:50:00 MDT,+3.91704e+006,+1.60673e+006,+3.90722e+006,+1.61801e+006,+3.96215e+006,+1.63523e+006,8,7,8
2000-07-11 07:55:00 MDT,+3.93641e+006,+1.60762e+006,+3.93767e+006,+1.60409e+006,+3.94365e+006,+1.63314e+006,8,8,8
2000-07-11 08:00:00 MDT,+3.94141e+006,+1.60911e+006,+3.89379e+006,+1.6017e+006,+3.94404e+006,+1.63339e+006,8,8,8
2000-07-11 08:05:00 MDT,+3.85939e+006,+1.63203e+006,+3.82067e+006,+1.62496e+006,+3.84963e+006,+1.65552e+006,8,8,8
2000-07-11 08:10:00 MDT,+3.92928e+006,+1.63339e+006,+3.91691e+006,+1.62731e+006,+3.98579e+006,+1.66188e+006,8,8,8
2000-07-11 08:15:00 MDT,+3.93301e+006,+1.63416e+006,+3.90053e+006,+1.62669e+006,+3.97609e+006,+1.66099e+006,8,8,8
2000-07-11 08:20:00 MDT,+3.92309e+006,+1.64555e+006,+3.92181e+006,+1.641e+006,+3.97026e+006,+1.67381e+006,8,8,8
2000-07-11 08:25:00 MDT,+3.9142e+006,+1.6464e+006,+3.87095e+006,+1.63863e+006,+3.94478e+006,+1.67327e+006,8,8,8
2000-07-11 08:30:00 MDT,+3.94346e+006,+1.648e+006,+3.90034e+006,+1.64083e+006,+3.89821e+006,+1.66945e+006,8,8,8
2000-07-11 08:35:00 MDT,+3.91844e+006,+1.65702e+006,+3.89964e+006,+1.65121e+006,+3.95383e+006,+1.68435e+006,8,8,8
2000-07-11 08:40:00 MDT,+3.97328e+006,+1.66096e+006,+3.87713e+006,+1.64926e+006,+3.97149e+006,+1.68466e+006,8,8,8
2000-07-11 08:45:00 MDT,+3.9257e+006,+1.65827e+006,+3.8835e+006,+1.65077e+006,+3.93397e+006,+1.68351e+006,8,8,8
2000-07-11 08:50:00 MDT,+3.92896e+006,+1.6636e+006,+3.89689e+006,+1.65705e+006,+3.93631e+006,+1.68909e+006,8,8,8
2000-07-11 08:55:00 MDT,+3.96282e+006,+1.66666e+006,+3.85539e+006,+1.65424e+006,+3.95419e+006,+1.68963e+006,8,8,8
2000-07-11 09:00:00 MDT,+4.00829e+006,+1.66877e+006,+3.88326e+006,+1.65602e+006,+3.92371e+006,+1.68668e+006,8,8,8
2000-07-11 09:05:00 MDT,+3.96706e+006,+1.67963e+006,+3.96694e+006,+1.67555e+006,+4.00243e+006,+1.7078e+006,8,8,8
2000-07-11 09:10:00 MDT,+4.04344e+006,+1.68318e+006,+4.00669e+006,+1.67655e+006,+4.03141e+006,+1.70759e+006,8,8,8
2000-07-11 09:15:00 MDT,+4.03734e+006,+1.68255e+006,+4.03147e+006,+1.67693e+006,+4.08853e+006,+1.71065e+006,8,8,8
2000-07-11 09:20:00 MDT,+4.06213e+006,+1.68296e+006,+3.97918e+006,+1.67292e+006,+4.06224e+006,+1.70795e+006,8,8,8
2000-07-11 09:25:00 MDT,+3.96433e+006,+1.68006e+006,+3.89188e+006,+1.67039e+006,+3.96646e+006,+1.70459e+006,8,8,8
2000-07-11 09:30:00 MDT,+4.02611e+006,+1.68114e+006,+3.99108e+006,+1.67496e+006,+4.00424e+006,+1.70483e+006,8,8,8
2000-07-11 09:35:00 MDT,+4.03354e+006,+1.67831e+006,+4.02548e+006,+1.67296e+006,+4.05691e+006,+1.70466e+006,8,8,8
2000-07-11 09:40:00 MDT,+4.0209e+006,+1.6787e+006,+3.93075e+006,+1.66781e+006,+4.0489e+006,+1.70531e+006,8,8,8
2000-07-11 09:45:00 MDT,+3.97696e+006,+1.67811e+006,+3.88586e+006,+1.6682e+006,+3.91335e+006,+1.6984e+006,8,8,8
2000-07-11 09:50:00 MDT,+3.91973e+006,+1.67097e+006,+3.85546e+006,+1.6616e+006,+3.95915e+006,+1.69802e+006,8,8,8
2000-07-11 09:55:00 MDT,+4.00825e+006,+1.67526e+006,+3.88799e+006,+1.66268e+006,+3.96862e+006,+1.69637e+006,8,8,8
2000-07-11 10:00:00 MDT,+3.95087e+006,+1.67082e+006,+3.93473e+006,+1.66617e+006,+3.94833e+006,+1.69603e+006,8,8,8
2000-07-11 10:05:00 MDT,+3.98258e+006,+1.67029e+006,+3.86149e+006,+1.65799e+006,+3.9565e+006,+1.69286e+006,8,8,8
2000-07-11 10:10:00 MDT,+3.85377e+006,+1.66398e+006,+3.84876e+006,+1.65922e+006,+3.89636e+006,+1.69155e+006,8,8,8
2000-07-11 10:15:00 MDT,+3.95088e+006,+1.66873e+006,+3.84291e+006,+1.65731e+006,+3.9562e+006,+1.69349e+006,8,8,8
2000-07-11 10:20:00 MDT,+3.9547e+006,+1.65837e+006,+3.8837e+006,+1.64903e+006,+3.9744e+006,+1.68427e+006,8,8,8
2000-07-11 10:25:00 MDT,+3.95455e+006,+1.65907e+006,+3.87863e+006,+1.65e+006,+3.9154e+006,+1.68065e+006,8,8,8
2000-07-11 10:30:00 MDT,+3.89982e+006,+1.65596e+006,+3.8547e+006,+1.64837e+006,+3.9394e+006,+1.68323e+006,8,8,8
2000-07-11 10:35:00 MDT,+3.91921e+006,+1.64867e+006,+3.84321e+006,+1.63926e+006,+3.94083e+006,+1.67415e+006,8,8,8
2000-07-11 10:40:00 MDT,+3.9251e+006,+1.64852e+006,+3.87291e+006,+1.64043e+006,+3.95155e+006,+1.6746e+006,8,8,8
2000-07-11 10:45:00 MDT,+3.94133e+006,+1.64824e+006,+3.91869e+006,+1.64292e+006,+3.95969e+006,+1.67484e+006,8,8,8
2000-07-11 10:50:00 MDT,+3.90065e+006,+1.63987e+006,+3.82494e+006,+1.63038e+006,+3.90576e+006,+1.66408e+006,8,8,8
2000-07-11 10:55:00 MDT,+3.89456e+006,+1.6387e+006,+3.83759e+006,+1.63052e+006,+3.93472e+006,+1.66575e+006,8,8,8
2000-07-11 11:00:00 MDT,+3.93086e+006,+1.64092e+006,+3.84781e+006,+1.63161e+006,+3.89719e+006,+1.66299e+006,8,8,8
2000-07-11 11:05:00 MDT,+3.90938e+006,+1.63051e+006,+3.88235e+006,+1.62498e+006,+3.90717e+006,+1.65522e+006,8,8,8
2000-07-11 11:10:00 MDT,+3.90304e+006,+1.6307e+006,+3.85499e+006,+1.62355e+006,+3.90106e+006,+1.65513e+006,8,8,8
2000-07-11 11:15:00 MDT,+4.01266e+006,+1.63613e+006,+3.88759e+006,+1.62419e+006,+3.92942e+006,+1.65421e+006,8,8,8
2000-07-11 11:20:00 MDT,+3.99925e+006,+1.62818e+006,+3.90176e+006,+1.61825e+006,+3.91971e+006,+1.64646e+006,8,8,8
2000-07-11 11:25:00 MDT,+3.98682e+006,+1.62734e+006,+3.88048e+006,+1.61675e+006,+3.94109e+006,+1.64874e+006,8,8,8
2000-07-11 11:30:00 MDT,+4.00709e+006,+1.62791e+006,+3.9218e+006,+1.61892e+006,+3.94814e+006,+1.64787e+006,8,8,8
2000-07-11 11:35:00 MDT,+3.96075e+006,+1.61783e+006,+3.85379e+006,+1.60716e+006,+3.92495e+006,+1.63952e+006,8,8,8
2000-07-11 11:40:00 MDT,+3.97375e+006,+1.61854e+006,+3.86723e+006,+1.60785e+006,+3.92252e+006,+1.63895e+006,8,8,8
2000-07-11 11:45:00 MDT,+3.98472e+006,+1.6188e+006,+3.89652e+006,+1.60896e+006,+3.942e+006,+1.63969e+006,8,8,8
2000-07-11 11:50:00 MDT,+3.95457e+006,+1.60882e+006,+3.87591e+006,+1.59991e+006,+3.92495e+006,+1.63099e+006,8,8,8
2000-07-11 11:55:00 MDT,+3.97752e+006,+1.61015e+006,+3.87055e+006,+1.59959e+006,+3.91852e+006,+1.62985e+006,8,8,8
2000-07-11 12:00:00 MDT,+3.96017e+006,+1.60959e+006,+3.8656e+006,+1.59978e+006,+3.89642e+006,+1.62908e+006,8,8,8
2000-07-11 12:05:00 MDT,+3.9505e+006,+1.60194e+006,+3.84389e+006,+1.59064e+006,+3.92977e+006,+1.62418e+006,8,8,8
2000-07-11 12:10:00 MDT,+3.96747e+006,+1.60218e+006,+3.86893e+006,+1.5925e+006,+3.90787e+006,+1.62256e+006,8,8,8
2000-07-11 12:15:00 MDT,+3.97662e+006,+1.60292e+006,+3.85876e+006,+1.59171e+006,+3.91721e+006,+1.62255e+006,8,8,8
