$state_name=Virginia
$city_name=Charlottesville
$lat_deg=38.090
$long_deg=-78.460
$elevation=148
$timezone_offset=-75.0
temperature,humidity,solar_direct,solar_diffuse,pressure,wind_speed
1:14:17:0:0,65.300,74.103,13.657,21.461,1004.000,0.895
1:14:18:0:0,65.300,77.040,22.204,19.324,1003.000,0.895
1:14:19:0:0,63.860,84.750,14.586,15.979,1003.000,0.671
1:14:20:0:0,61.160,95.625,3.809,10.034,1003.000,0.447
1:14:21:0:0,58.280,100.000,0.000,2.230,1003.000,0.447
1:14:22:0:0,56.840,100.000,0.000,0.000,1004.000,0.671
1:14:23:0:0,56.660,99.352,0.000,0.000,1004.000,0.671
1:15:0:0:0,55.580,100.000,0.000,0.000,1004.000,0.447
1:15:1:0:0,54.680,100.000,0.000,0.000,1003.000,0.447
1:15:2:0:0,53.780,100.000,0.000,0.000,1003.000,0.447
1:15:3:0:0,53.420,100.000,0.000,0.000,1002.000,0.671
1:15:4:0:0,52.700,100.000,0.000,0.000,1002.000,0.671
1:15:5:0:0,52.340,100.000,0.000,0.000,1002.000,0.671
1:15:6:0:0,52.160,100.000,0.000,0.000,1001.000,0.671
1:15:7:0:0,51.620,100.000,0.000,0.000,1001.000,0.671
1:15:8:0:0,51.080,100.000,0.000,0.000,1000.000,0.671
1:15:9:0:0,50.180,100.000,0.000,0.000,999.000,0.671
1:15:10:0:0,49.820,100.000,0.000,0.000,999.000,0.671
1:15:11:0:0,49.820,98.669,0.000,0.000,999.000,0.671
1:15:12:0:0,50.900,94.159,0.000,0.000,999.000,1.118
1:15:13:0:0,53.960,88.173,0.000,4.645,999.000,1.566
1:15:14:0:0,57.920,83.280,24.433,11.148,999.000,1.790
1:15:15:0:0,61.520,78.237,6.317,16.630,998.000,2.013
1:15:16:0:0,63.860,75.428,13.378,20.624,997.000,2.013
1:15:17:0:0,65.120,75.054,23.876,20.903,996.000,2.013
1:15:18:0:0,65.660,76.575,6.596,19.324,995.000,1.790
1:15:19:0:0,65.300,80.079,23.969,15.422,995.000,1.566
1:15:20:0:0,63.860,85.845,0.000,9.197,994.000,1.342
1:15:21:0:0,62.420,89.719,0.000,3.809,994.000,1.342
1:15:22:0:0,61.340,92.015,0.000,0.000,995.000,1.342
1:15:23:0:0,60.800,93.191,0.000,0.000,995.000,1.342
