# file...... ../data_powRecorderA.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... meter 13
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power_A
2017-03-28 00:00:07.330000 PDT,+1537.92+25.8419d
2017-03-28 00:00:07.340000 PDT,+1540.71+25.8419d
2017-03-28 00:00:07.350000 PDT,+1543.5+25.8419d
2017-03-28 00:00:07.360000 PDT,+1546.29+25.8419d
2017-03-28 00:00:07.370000 PDT,+1549.09+25.8419d
2017-03-28 00:00:07.380000 PDT,+1551.88+25.8419d
2017-03-28 00:00:07.390000 PDT,+1554.68+25.8419d
2017-03-28 00:00:07.400000 PDT,+1557.47+25.8419d
2017-03-28 00:00:07.410000 PDT,+1560.27+25.8419d
2017-03-28 00:00:07.420000 PDT,+1563.07+25.8419d
2017-03-28 00:00:07.430000 PDT,+1565.88+25.8419d
2017-03-28 00:00:07.440000 PDT,+1568.68+25.8419d
2017-03-28 00:00:07.450000 PDT,+1571.49+25.8419d
2017-03-28 00:00:07.460000 PDT,+1574.3+25.8419d
2017-03-28 00:00:07.470000 PDT,+1577.11+25.8419d
2017-03-28 00:00:07.480000 PDT,+1579.92+25.8419d
2017-03-28 00:00:07.490000 PDT,+1582.73+25.8419d
2017-03-28 00:00:07.500000 PDT,+1585.55+25.8419d
2017-03-28 00:00:07.510000 PDT,+1588.36+25.8419d
2017-03-28 00:00:07.520000 PDT,+1591.18+25.8419d
2017-03-28 00:00:07.530000 PDT,+1594+25.8419d
2017-03-28 00:00:07.540000 PDT,+1596.83+25.8419d
2017-03-28 00:00:07.550000 PDT,+1599.65+25.8419d
2017-03-28 00:00:07.560000 PDT,+1602.48+25.8419d
2017-03-28 00:00:07.570000 PDT,+1605.3+25.8419d
2017-03-28 00:00:07.580000 PDT,+1608.13+25.8419d
2017-03-28 00:00:07.590000 PDT,+1610.96+25.8419d
2017-03-28 00:00:07.600000 PDT,+1613.8+25.8419d
2017-03-28 00:00:07.610000 PDT,+1616.63+25.8419d
2017-03-28 00:00:07.620000 PDT,+1619.47+25.8419d
2017-03-28 00:00:07.630000 PDT,+1622.3+25.8419d
2017-03-28 00:00:07.640000 PDT,+1625.14+25.8419d
2017-03-28 00:00:07.650000 PDT,+1627.98+25.8419d
2017-03-28 00:00:07.660000 PDT,+1630.82+25.8419d
2017-03-28 00:00:07.670000 PDT,+1633.67+25.8419d
2017-03-28 00:00:07.680000 PDT,+1636.51+25.8419d
2017-03-28 00:00:07.690000 PDT,+1639.36+25.8419d
2017-03-28 00:00:07.700000 PDT,+1642.21+25.8419d
2017-03-28 00:00:07.710000 PDT,+1645.05+25.8419d
2017-03-28 00:00:07.720000 PDT,+1647.9+25.8419d
2017-03-28 00:00:07.730000 PDT,+1650.75+25.8419d
2017-03-28 00:00:07.740000 PDT,+1653.61+25.8419d
2017-03-28 00:00:07.750000 PDT,+1656.46+25.8419d
2017-03-28 00:00:07.760000 PDT,+1659.31+25.8419d
2017-03-28 00:00:07.770000 PDT,+1662.16+25.8419d
2017-03-28 00:00:07.780000 PDT,+1665.02+25.8419d
2017-03-28 00:00:07.790000 PDT,+1667.87+25.8419d
2017-03-28 00:00:07.800000 PDT,+1670.73+25.8419d
2017-03-28 00:00:07.810000 PDT,+1673.58+25.8419d
2017-03-28 00:00:07.820000 PDT,+1676.44+25.8419d
2017-03-28 00:00:07.830000 PDT,+1679.29+25.8419d
2017-03-28 00:00:07.840000 PDT,+1682.15+25.8419d
2017-03-28 00:00:07.850000 PDT,+1685+25.8419d
2017-03-28 00:00:07.860000 PDT,+1687.85+25.8419d
2017-03-28 00:00:07.870000 PDT,+1690.71+25.8419d
2017-03-28 00:00:07.880000 PDT,+1693.56+25.8419d
2017-03-28 00:00:07.890000 PDT,+1696.41+25.8419d
2017-03-28 00:00:07.900000 PDT,+1699.26+25.8419d
2017-03-28 00:00:07.910000 PDT,+1702.11+25.8419d
2017-03-28 00:00:07.920000 PDT,+1704.95+25.8419d
2017-03-28 00:00:07.930000 PDT,+1707.8+25.8419d
2017-03-28 00:00:07.940000 PDT,+1710.64+25.8419d
2017-03-28 00:00:07.950000 PDT,+1713.48+25.8419d
2017-03-28 00:00:07.960000 PDT,+1716.32+25.8419d
2017-03-28 00:00:07.970000 PDT,+1719.15+25.8419d
2017-03-28 00:00:07.980000 PDT,+1721.98+25.8419d
2017-03-28 00:00:07.990000 PDT,+1724.81+25.8419d
2017-03-28 00:00:08.000000 PDT,+1727.64+25.8419d
2017-03-28 00:00:08.010000 PDT,+1730.46+25.8419d
2017-03-28 00:00:08.020000 PDT,+1733.27+25.8419d
2017-03-28 00:00:08.030000 PDT,+1736.09+25.8419d
2017-03-28 00:00:08.040000 PDT,+1738.89+25.8419d
2017-03-28 00:00:08.050000 PDT,+1741.7+25.8419d
2017-03-28 00:00:08.060000 PDT,+1744.49+25.8419d
2017-03-28 00:00:08.070000 PDT,+1747.28+25.8419d
2017-03-28 00:00:08.080000 PDT,+1750.07+25.8419d
2017-03-28 00:00:08.090000 PDT,+1752.84+25.8419d
2017-03-28 00:00:08.100000 PDT,+1755.62+25.8419d
2017-03-28 00:00:08.110000 PDT,+1758.38+25.8419d
2017-03-28 00:00:08.120000 PDT,+1761.13+25.8419d
2017-03-28 00:00:08.130000 PDT,+1763.88+25.8419d
2017-03-28 00:00:08.140000 PDT,+1766.62+25.8419d
2017-03-28 00:00:08.150000 PDT,+1769.35+25.8419d
2017-03-28 00:00:08.160000 PDT,+1772.07+25.8419d
2017-03-28 00:00:08.170000 PDT,+1774.78+25.8419d
2017-03-28 00:00:08.180000 PDT,+1777.48+25.8419d
2017-03-28 00:00:08.190000 PDT,+1780.16+25.8419d
