# timestamp,measured_power_A
2009-01-01 00:00:05.074800 PST,+2488.8346-111.02002j
2009-01-01 00:00:05.075000 PST,+2488.754-111.12872j
2009-01-01 00:00:05.075200 PST,+2488.6772-111.23498j
2009-01-01 00:00:05.075400 PST,+2488.6041-111.33876j
2009-01-01 00:00:05.075600 PST,+2488.5349-111.44006j
2009-01-01 00:00:05.075800 PST,+2488.4697-111.53885j
2009-01-01 00:00:05.076000 PST,+2488.4085-111.6351j
2009-01-01 00:00:05.076200 PST,+2488.3514-111.72879j
2009-01-01 00:00:05.076400 PST,+2488.2985-111.8199j
2009-01-01 00:00:05.076600 PST,+2488.2499-111.90839j
2009-01-01 00:00:05.076800 PST,+2488.2055-111.99423j
2009-01-01 00:00:05.077000 PST,+2488.1655-112.07739j
2009-01-01 00:00:05.077200 PST,+2488.13-112.15785j
2009-01-01 00:00:05.077400 PST,+2488.0988-112.23557j
2009-01-01 00:00:05.077600 PST,+2488.0721-112.3105j
2009-01-01 00:00:05.077800 PST,+2488.0499-112.38263j
2009-01-01 00:00:05.078000 PST,+2488.0323-112.45191j
2009-01-01 00:00:05.078200 PST,+2488.0192-112.5183j
2009-01-01 00:00:05.078400 PST,+2488.0106-112.58176j
2009-01-01 00:00:05.078600 PST,+2488.0066-112.64227j
2009-01-01 00:00:05.078800 PST,+2488.0072-112.69977j
2009-01-01 00:00:05.079000 PST,+2488.0124-112.75422j
2009-01-01 00:00:05.079200 PST,+2488.0222-112.80559j
2009-01-01 00:00:05.079400 PST,+2488.0365-112.85384j
2009-01-01 00:00:05.079600 PST,+2488.0553-112.89891j
2009-01-01 00:00:05.079800 PST,+2488.0787-112.94078j
2009-01-01 00:00:05.080000 PST,+2488.1067-112.97939j
2009-01-01 00:00:05.080200 PST,+2488.1391-113.0147j
2009-01-01 00:00:05.080400 PST,+2488.1759-113.04668j
2009-01-01 00:00:05.080600 PST,+2488.2172-113.07527j
2009-01-01 00:00:05.080800 PST,+2488.2629-113.10043j
2009-01-01 00:00:05.081000 PST,+2488.3129-113.12212j
2009-01-01 00:00:05.081200 PST,+2488.3672-113.1403j
2009-01-01 00:00:05.081400 PST,+2488.4258-113.15492j
2009-01-01 00:00:05.081600 PST,+2488.4886-113.16595j
2009-01-01 00:00:05.081800 PST,+2488.5555-113.17332j
2009-01-01 00:00:05.082000 PST,+2488.6265-113.17701j
2009-01-01 00:00:05.082200 PST,+2488.7015-113.17697j
2009-01-01 00:00:05.082400 PST,+2488.7805-113.17316j
2009-01-01 00:00:05.082600 PST,+2488.8634-113.16553j
2009-01-01 00:00:05.082800 PST,+2488.9502-113.15405j
2009-01-01 00:00:05.083000 PST,+2489.0406-113.13867j
2009-01-01 00:00:05.083200 PST,+2489.1348-113.11935j
2009-01-01 00:00:05.083400 PST,+2489.2326-113.09606j
2009-01-01 00:00:05.083600 PST,+2489.3339-113.06875j
2009-01-01 00:00:05.083800 PST,+2489.4386-113.03738j
2009-01-01 00:00:05.084000 PST,+2489.5467-113.00192j
2009-01-01 00:00:05.084200 PST,+2489.6581-112.96233j
2009-01-01 00:00:05.084400 PST,+2489.7727-112.91857j
2009-01-01 00:00:05.084600 PST,+2489.8903-112.87061j
2009-01-01 00:00:05.084800 PST,+2490.011-112.8184j
2009-01-01 00:00:05.085000 PST,+2490.1346-112.76192j
2009-01-01 00:00:05.085200 PST,+2490.2611-112.70114j
2009-01-01 00:00:05.085400 PST,+2490.3903-112.63602j
2009-01-01 00:00:05.085600 PST,+2490.5221-112.56652j
2009-01-01 00:00:05.085800 PST,+2490.6565-112.49262j
2009-01-01 00:00:05.086000 PST,+2490.7933-112.41429j
2009-01-01 00:00:05.086200 PST,+2490.9325-112.3315j
2009-01-01 00:00:05.086400 PST,+2491.074-112.24422j
2009-01-01 00:00:05.086600 PST,+2491.2176-112.15243j
2009-01-01 00:00:05.086800 PST,+2491.3633-112.05609j
