# file...... ../data_vfd_out_rec_curr_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_A
2017-03-28 00:00:07.590000 PDT,+0.238095-53.6293d
2017-03-28 00:00:07.600000 PDT,+0.238095-74.2167d
2017-03-28 00:00:07.610000 PDT,+0.238095-94.4667d
2017-03-28 00:00:07.620000 PDT,+0.238095-114.379d
2017-03-28 00:00:07.630000 PDT,+0.238095-133.954d
2017-03-28 00:00:07.640000 PDT,+0.238095-153.192d
2017-03-28 00:00:07.650000 PDT,+0.238095-172.092d
2017-03-28 00:00:07.660000 PDT,+0.238095+169.345d
2017-03-28 00:00:07.670000 PDT,+0.238095+151.12d
2017-03-28 00:00:07.680000 PDT,+0.238095+133.233d
2017-03-28 00:00:07.690000 PDT,+0.238095+115.683d
2017-03-28 00:00:07.700000 PDT,+0.238095+98.4705d
2017-03-28 00:00:07.710000 PDT,+0.238095+81.5955d
2017-03-28 00:00:07.720000 PDT,+0.238095+65.058d
2017-03-28 00:00:07.730000 PDT,+0.238095+48.858d
2017-03-28 00:00:07.740000 PDT,+0.238095+32.9955d
2017-03-28 00:00:07.750000 PDT,+0.238095+17.4706d
2017-03-28 00:00:07.760000 PDT,+0.238095+2.28307d
2017-03-28 00:00:07.770000 PDT,+0.238095-12.5669d
2017-03-28 00:00:07.780000 PDT,+0.238095-27.0794d
2017-03-28 00:00:07.790000 PDT,+0.238095-41.2544d
2017-03-28 00:00:07.800000 PDT,+0.238095-55.0919d
2017-03-28 00:00:07.810000 PDT,+0.238095-68.5919d
2017-03-28 00:00:07.820000 PDT,+0.238095-81.7544d
2017-03-28 00:00:07.830000 PDT,+0.238095-94.5793d
2017-03-28 00:00:07.840000 PDT,+0.238095-107.067d
2017-03-28 00:00:07.850000 PDT,+0.238095-119.217d
2017-03-28 00:00:07.860000 PDT,+0.238095-131.029d
2017-03-28 00:00:07.870000 PDT,+0.238095-142.504d
2017-03-28 00:00:07.880000 PDT,+0.238095-153.642d
2017-03-28 00:00:07.890000 PDT,+0.238095-164.442d
2017-03-28 00:00:07.900000 PDT,+0.238095-174.905d
2017-03-28 00:00:07.910000 PDT,+0.238095+174.97d
2017-03-28 00:00:07.920000 PDT,+0.238095+165.183d
2017-03-28 00:00:07.930000 PDT,+0.238095+155.733d
