# file...... ../data_vfd_in_rec_pow_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_in_A
2017-03-28 00:00:07.220000 PDT,+1356.61+657.038j
2017-03-28 00:00:07.230000 PDT,+1359.11+658.247j
2017-03-28 00:00:07.240000 PDT,+1361.61+659.456j
2017-03-28 00:00:07.250000 PDT,+1364.1+660.666j
2017-03-28 00:00:07.260000 PDT,+1366.6+661.876j
2017-03-28 00:00:07.270000 PDT,+1369.1+663.087j
2017-03-28 00:00:07.280000 PDT,+1371.61+664.299j
2017-03-28 00:00:07.290000 PDT,+1374.11+665.511j
2017-03-28 00:00:07.300000 PDT,+1376.61+666.724j
2017-03-28 00:00:07.310000 PDT,+1379.12+667.937j
2017-03-28 00:00:07.320000 PDT,+1381.62+669.151j
2017-03-28 00:00:07.330000 PDT,+1384.13+670.366j
2017-03-28 00:00:07.340000 PDT,+1386.64+671.581j
2017-03-28 00:00:07.350000 PDT,+1389.15+672.797j
2017-03-28 00:00:07.360000 PDT,+1391.66+674.013j
2017-03-28 00:00:07.370000 PDT,+1394.18+675.231j
2017-03-28 00:00:07.380000 PDT,+1396.69+676.449j
2017-03-28 00:00:07.390000 PDT,+1399.21+677.668j
2017-03-28 00:00:07.400000 PDT,+1401.73+678.887j
2017-03-28 00:00:07.410000 PDT,+1404.25+680.107j
2017-03-28 00:00:07.420000 PDT,+1406.77+681.328j
2017-03-28 00:00:07.430000 PDT,+1409.29+682.55j
2017-03-28 00:00:07.440000 PDT,+1411.81+683.773j
2017-03-28 00:00:07.450000 PDT,+1414.34+684.996j
2017-03-28 00:00:07.460000 PDT,+1416.87+686.22j
2017-03-28 00:00:07.470000 PDT,+1419.4+687.445j
2017-03-28 00:00:07.480000 PDT,+1421.93+688.67j
2017-03-28 00:00:07.490000 PDT,+1424.46+689.897j
2017-03-28 00:00:07.500000 PDT,+1426.99+691.124j
2017-03-28 00:00:07.510000 PDT,+1429.53+692.352j
2017-03-28 00:00:07.520000 PDT,+1432.06+693.58j
2017-03-28 00:00:07.530000 PDT,+1434.6+694.81j
2017-03-28 00:00:07.540000 PDT,+1437.14+696.04j
2017-03-28 00:00:07.550000 PDT,+1439.68+697.271j
2017-03-28 00:00:07.560000 PDT,+1442.23+698.503j
2017-03-28 00:00:07.570000 PDT,+1444.77+699.735j
2017-03-28 00:00:07.580000 PDT,+1447.32+700.968j
2017-03-28 00:00:07.590000 PDT,+1449.87+702.202j
2017-03-28 00:00:07.600000 PDT,+1452.42+703.437j
2017-03-28 00:00:07.610000 PDT,+1454.97+704.673j
2017-03-28 00:00:07.620000 PDT,+1457.52+705.909j
2017-03-28 00:00:07.630000 PDT,+1460.07+707.146j
2017-03-28 00:00:07.640000 PDT,+1462.63+708.383j
2017-03-28 00:00:07.650000 PDT,+1465.18+709.621j
2017-03-28 00:00:07.660000 PDT,+1467.74+710.86j
2017-03-28 00:00:07.670000 PDT,+1470.3+712.099j
2017-03-28 00:00:07.680000 PDT,+1472.86+713.339j
2017-03-28 00:00:07.690000 PDT,+1475.42+714.58j
2017-03-28 00:00:07.700000 PDT,+1477.99+715.821j
2017-03-28 00:00:07.710000 PDT,+1480.55+717.062j
