# file...... ../data_vfd_out_rec_curr_C.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_C
2017-03-28 00:00:12.200000 PDT,+0.238095+55.533d
2017-03-28 00:00:12.210000 PDT,+0.238095+45.783d
2017-03-28 00:00:12.220000 PDT,+0.238095+35.5455d
2017-03-28 00:00:12.230000 PDT,+0.238095+24.8205d
2017-03-28 00:00:12.240000 PDT,+0.238095+13.608d
2017-03-28 00:00:12.250000 PDT,+0.238095+1.90806d
2017-03-28 00:00:12.260000 PDT,+0.238095-10.2794d
2017-03-28 00:00:12.270000 PDT,+0.238095-22.9544d
2017-03-28 00:00:12.280000 PDT,+0.238095-36.1169d
2017-03-28 00:00:12.290000 PDT,+0.238095-49.7669d
2017-03-28 00:00:12.300000 PDT,+0.238095-63.9044d
2017-03-28 00:00:12.310000 PDT,+0.238095-78.5294d
2017-03-28 00:00:12.320000 PDT,+0.238095-93.6418d
2017-03-28 00:00:12.330000 PDT,+0.238095-109.242d
2017-03-28 00:00:12.340000 PDT,+0.238095-125.329d
2017-03-28 00:00:12.350000 PDT,+0.238095-141.904d
2017-03-28 00:00:12.360000 PDT,+0.238095-158.967d
2017-03-28 00:00:12.370000 PDT,+0.238095-176.517d
2017-03-28 00:00:12.380000 PDT,+0.238095+165.446d
2017-03-28 00:00:12.390000 PDT,+0.238095+146.92d
2017-03-28 00:00:12.400000 PDT,+0.238095+127.908d
2017-03-28 00:00:12.410000 PDT,+0.238095+108.408d
2017-03-28 00:00:12.420000 PDT,+0.238095+88.4204d
2017-03-28 00:00:12.430000 PDT,+0.238095+67.9454d
2017-03-28 00:00:12.440000 PDT,+0.238095+46.9829d
2017-03-28 00:00:12.450000 PDT,+0.238095+25.5329d
2017-03-28 00:00:12.460000 PDT,+0.238095+3.59546d
2017-03-28 00:00:12.470000 PDT,+0.238095-18.8295d
2017-03-28 00:00:12.480000 PDT,+0.238095-41.742d
2017-03-28 00:00:12.490000 PDT,+0.238095-65.142d
2017-03-28 00:00:12.500000 PDT,+0.238095-89.0295d
2017-03-28 00:00:12.510000 PDT,+0.238095-113.404d
2017-03-28 00:00:12.520000 PDT,+0.238095-138.267d
2017-03-28 00:00:12.530000 PDT,+0.238095-163.617d
2017-03-28 00:00:12.540000 PDT,+0.238095+170.546d
2017-03-28 00:00:12.550000 PDT,+0.238095+144.221d
2017-03-28 00:00:12.560000 PDT,+0.238095+117.408d
2017-03-28 00:00:12.570000 PDT,+0.238095+90.1082d
2017-03-28 00:00:12.580000 PDT,+0.238095+62.3207d
2017-03-28 00:00:12.590000 PDT,+0.238095+34.0458d
2017-03-28 00:00:12.600000 PDT,+0.238095+5.2833d
2017-03-28 00:00:12.610000 PDT,+0.238095-23.9667d
2017-03-28 00:00:12.620000 PDT,+0.238095-53.7041d
2017-03-28 00:00:12.630000 PDT,+0.238095-83.9291d
2017-03-28 00:00:12.640000 PDT,+0.238095-114.642d
2017-03-28 00:00:12.650000 PDT,+0.238095-145.842d
2017-03-28 00:00:12.660000 PDT,+0.238095-177.53d
2017-03-28 00:00:12.670000 PDT,+0.238095+150.295d
2017-03-28 00:00:12.680000 PDT,+0.238095+117.633d
2017-03-28 00:00:12.690000 PDT,+0.238095+84.4828d
2017-03-28 00:00:12.700000 PDT,+0.238095+50.8454d
2017-03-28 00:00:12.710000 PDT,+0.238095+16.7204d
2017-03-28 00:00:12.720000 PDT,+0.238095-17.8921d
2017-03-28 00:00:12.730000 PDT,+0.238095-52.992d
2017-03-28 00:00:12.740000 PDT,+0.238095-88.5795d
2017-03-28 00:00:12.750000 PDT,+0.238095-124.654d
2017-03-28 00:00:12.760000 PDT,+0.238095-161.217d
2017-03-28 00:00:12.770000 PDT,+0.238095+161.733d
2017-03-28 00:00:12.780000 PDT,+0.238095+124.196d
2017-03-28 00:00:12.790000 PDT,+0.238095+86.1707d
2017-03-28 00:00:12.800000 PDT,+0.238095+47.6582d
2017-03-28 00:00:12.810000 PDT,+0.238095+8.65825d
2017-03-28 00:00:12.820000 PDT,+0.238095-30.8292d
2017-03-28 00:00:12.830000 PDT,+0.238095-70.8042d
2017-03-28 00:00:12.840000 PDT,+0.238095-111.267d
2017-03-28 00:00:12.850000 PDT,+0.238095-152.217d
2017-03-28 00:00:12.860000 PDT,+0.238095+166.346d
2017-03-28 00:00:12.870000 PDT,+0.238095+124.421d
2017-03-28 00:00:12.880000 PDT,+0.238095+82.0085d
2017-03-28 00:00:12.890000 PDT,+0.238095+39.1075d
2017-03-28 00:00:12.900000 PDT,+0.238095-4.27991d
2017-03-28 00:00:12.910000 PDT,+0.238095-48.1549d
2017-03-28 00:00:12.920000 PDT,+0.238095-92.5173d
2017-03-28 00:00:12.930000 PDT,+0.238095-137.367d
2017-03-28 00:00:12.940000 PDT,+0.238095+177.295d
2017-03-28 00:00:12.950000 PDT,+0.238095+131.47d
2017-03-28 00:00:12.960000 PDT,+0.238095+85.1578d
2017-03-28 00:00:12.970000 PDT,+0.238095+38.3579d
