# file...... ../data_vfd_in_rec_curr_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_in_A
2017-03-28 00:00:07.880000 PDT,+0.362922-0.175788j
2017-03-28 00:00:07.890000 PDT,+0.363533-0.176084j
2017-03-28 00:00:07.900000 PDT,+0.364144-0.17638j
2017-03-28 00:00:07.910000 PDT,+0.364754-0.176676j
2017-03-28 00:00:07.920000 PDT,+0.365364-0.176971j
2017-03-28 00:00:07.930000 PDT,+0.365974-0.177266j
2017-03-28 00:00:07.940000 PDT,+0.366583-0.177562j
2017-03-28 00:00:07.950000 PDT,+0.367191-0.177856j
2017-03-28 00:00:07.960000 PDT,+0.3678-0.178151j
2017-03-28 00:00:07.970000 PDT,+0.368407-0.178445j
2017-03-28 00:00:07.980000 PDT,+0.369014-0.178739j
2017-03-28 00:00:07.990000 PDT,+0.36962-0.179033j
2017-03-28 00:00:08.000000 PDT,+0.370225-0.179326j
2017-03-28 00:00:08.010000 PDT,+0.37083-0.179619j
2017-03-28 00:00:08.020000 PDT,+0.371433-0.179911j
2017-03-28 00:00:08.030000 PDT,+0.372036-0.180203j
2017-03-28 00:00:08.040000 PDT,+0.372638-0.180495j
2017-03-28 00:00:08.050000 PDT,+0.373238-0.180786j
2017-03-28 00:00:08.060000 PDT,+0.373837-0.181076j
2017-03-28 00:00:08.070000 PDT,+0.374435-0.181366j
2017-03-28 00:00:08.080000 PDT,+0.375032-0.181655j
2017-03-28 00:00:08.090000 PDT,+0.375627-0.181943j
2017-03-28 00:00:08.100000 PDT,+0.376221-0.182231j
2017-03-28 00:00:08.110000 PDT,+0.376813-0.182517j
2017-03-28 00:00:08.120000 PDT,+0.377404-0.182803j
2017-03-28 00:00:08.130000 PDT,+0.377993-0.183089j
2017-03-28 00:00:08.140000 PDT,+0.378579-0.183373j
2017-03-28 00:00:08.150000 PDT,+0.379164-0.183656j
2017-03-28 00:00:08.160000 PDT,+0.379747-0.183939j
2017-03-28 00:00:08.170000 PDT,+0.380328-0.18422j
2017-03-28 00:00:08.180000 PDT,+0.380906-0.1845j
2017-03-28 00:00:08.190000 PDT,+0.381482-0.184779j
2017-03-28 00:00:08.200000 PDT,+0.382056-0.185057j
2017-03-28 00:00:08.210000 PDT,+0.382654-0.185347j
2017-03-28 00:00:09 PDT,+0.382654-0.185347j
2017-03-28 00:00:10 PDT,+0.382654-0.185347j
2017-03-28 00:00:11 PDT,+0.382654-0.185347j
2017-03-28 00:00:12.000000 PDT,+0.382654-0.185347j
2017-03-28 00:00:12.010000 PDT,+0.382688-0.185363j
2017-03-28 00:00:12.020000 PDT,+0.381854-0.184959j
2017-03-28 00:00:12.030000 PDT,+0.381015-0.184553j
2017-03-28 00:00:12.040000 PDT,+0.380172-0.184144j
2017-03-28 00:00:12.050000 PDT,+0.379324-0.183734j
2017-03-28 00:00:12.060000 PDT,+0.378473-0.183321j
2017-03-28 00:00:12.070000 PDT,+0.377618-0.182907j
2017-03-28 00:00:12.080000 PDT,+0.376759-0.182491j
2017-03-28 00:00:12.090000 PDT,+0.375898-0.182074j
2017-03-28 00:00:12.100000 PDT,+0.375034-0.181655j
2017-03-28 00:00:12.110000 PDT,+0.374167-0.181235j
2017-03-28 00:00:12.120000 PDT,+0.373298-0.180814j
2017-03-28 00:00:12.130000 PDT,+0.372426-0.180392j
2017-03-28 00:00:12.140000 PDT,+0.371553-0.179969j
2017-03-28 00:00:12.150000 PDT,+0.370678-0.179545j
2017-03-28 00:00:12.160000 PDT,+0.369802-0.179121j
2017-03-28 00:00:12.170000 PDT,+0.368924-0.178696j
2017-03-28 00:00:12.180000 PDT,+0.368045-0.17827j
2017-03-28 00:00:12.190000 PDT,+0.367165-0.177843j
2017-03-28 00:00:12.200000 PDT,+0.366284-0.177417j
2017-03-28 00:00:12.210000 PDT,+0.365402-0.17699j
2017-03-28 00:00:12.220000 PDT,+0.364519-0.176562j
2017-03-28 00:00:12.230000 PDT,+0.363637-0.176134j
2017-03-28 00:00:12.240000 PDT,+0.362753-0.175707j
2017-03-28 00:00:12.250000 PDT,+0.36187-0.175279j
2017-03-28 00:00:12.260000 PDT,+0.360986-0.17485j
2017-03-28 00:00:12.270000 PDT,+0.360102-0.174422j
2017-03-28 00:00:12.280000 PDT,+0.359218-0.173994j
2017-03-28 00:00:12.290000 PDT,+0.358335-0.173566j
2017-03-28 00:00:12.300000 PDT,+0.357451-0.173138j
2017-03-28 00:00:12.310000 PDT,+0.356568-0.17271j
2017-03-28 00:00:12.320000 PDT,+0.355685-0.172283j
2017-03-28 00:00:12.330000 PDT,+0.354802-0.171855j
2017-03-28 00:00:12.340000 PDT,+0.35392-0.171428j
2017-03-28 00:00:12.350000 PDT,+0.353039-0.171001j
2017-03-28 00:00:12.360000 PDT,+0.352157-0.170574j
2017-03-28 00:00:12.370000 PDT,+0.351277-0.170147j
2017-03-28 00:00:12.380000 PDT,+0.350397-0.169721j
2017-03-28 00:00:12.390000 PDT,+0.349518-0.169295j
2017-03-28 00:00:12.400000 PDT,+0.348639-0.168869j
2017-03-28 00:00:12.410000 PDT,+0.347761-0.168444j
2017-03-28 00:00:12.420000 PDT,+0.346884-0.168019j
2017-03-28 00:00:12.430000 PDT,+0.346007-0.167595j
2017-03-28 00:00:12.440000 PDT,+0.345132-0.16717j
2017-03-28 00:00:12.450000 PDT,+0.344257-0.166747j
2017-03-28 00:00:12.460000 PDT,+0.343383-0.166323j
2017-03-28 00:00:12.470000 PDT,+0.342509-0.1659j
2017-03-28 00:00:12.480000 PDT,+0.341637-0.165477j
2017-03-28 00:00:12.490000 PDT,+0.340765-0.165055j
2017-03-28 00:00:12.500000 PDT,+0.339894-0.164633j
2017-03-28 00:00:12.510000 PDT,+0.339024-0.164212j
2017-03-28 00:00:12.520000 PDT,+0.338155-0.163791j
2017-03-28 00:00:12.530000 PDT,+0.337286-0.16337j
2017-03-28 00:00:12.540000 PDT,+0.336418-0.16295j
2017-03-28 00:00:12.550000 PDT,+0.335551-0.16253j
2017-03-28 00:00:12.560000 PDT,+0.334685-0.16211j
2017-03-28 00:00:12.570000 PDT,+0.33382-0.161691j
2017-03-28 00:00:12.580000 PDT,+0.332955-0.161272j
2017-03-28 00:00:12.590000 PDT,+0.332091-0.160853j
2017-03-28 00:00:12.600000 PDT,+0.331228-0.160435j
2017-03-28 00:00:12.610000 PDT,+0.330365-0.160017j
2017-03-28 00:00:12.620000 PDT,+0.329503-0.1596j
2017-03-28 00:00:12.630000 PDT,+0.328642-0.159182j
2017-03-28 00:00:12.640000 PDT,+0.327781-0.158766j
2017-03-28 00:00:12.650000 PDT,+0.326921-0.158349j
2017-03-28 00:00:12.660000 PDT,+0.326061-0.157933j
2017-03-28 00:00:12.670000 PDT,+0.325203-0.157517j
2017-03-28 00:00:12.680000 PDT,+0.324344-0.157101j
2017-03-28 00:00:12.690000 PDT,+0.323486-0.156685j
2017-03-28 00:00:12.700000 PDT,+0.322629-0.15627j
2017-03-28 00:00:12.710000 PDT,+0.321772-0.155855j
2017-03-28 00:00:12.720000 PDT,+0.320916-0.15544j
2017-03-28 00:00:12.730000 PDT,+0.32006-0.155025j
2017-03-28 00:00:12.740000 PDT,+0.319204-0.154611j
2017-03-28 00:00:12.750000 PDT,+0.318349-0.154197j
2017-03-28 00:00:12.760000 PDT,+0.317494-0.153783j
2017-03-28 00:00:12.770000 PDT,+0.31664-0.153369j
2017-03-28 00:00:12.780000 PDT,+0.315786-0.152955j
2017-03-28 00:00:12.790000 PDT,+0.314932-0.152541j
2017-03-28 00:00:12.800000 PDT,+0.314078-0.152128j
2017-03-28 00:00:12.810000 PDT,+0.313225-0.151714j
2017-03-28 00:00:12.820000 PDT,+0.312372-0.151301j
2017-03-28 00:00:12.830000 PDT,+0.311519-0.150888j
2017-03-28 00:00:12.840000 PDT,+0.310666-0.150475j
2017-03-28 00:00:12.850000 PDT,+0.309814-0.150062j
2017-03-28 00:00:12.860000 PDT,+0.308961-0.149649j
2017-03-28 00:00:12.870000 PDT,+0.308109-0.149236j
2017-03-28 00:00:12.880000 PDT,+0.307257-0.148824j
2017-03-28 00:00:12.890000 PDT,+0.306405-0.148411j
