# file...... ../data_vfd_out_rec_pow_B.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_out_B
2017-03-28 00:00:12.100000 PDT,+1527.18+739.648j
2017-03-28 00:00:12.110000 PDT,+1523.66+737.944j
2017-03-28 00:00:12.120000 PDT,+1520.15+736.24j
2017-03-28 00:00:12.130000 PDT,+1516.63+734.536j
2017-03-28 00:00:12.140000 PDT,+1513.11+732.832j
2017-03-28 00:00:12.150000 PDT,+1509.59+731.128j
2017-03-28 00:00:12.160000 PDT,+1506.07+729.424j
2017-03-28 00:00:12.170000 PDT,+1502.55+727.72j
2017-03-28 00:00:12.180000 PDT,+1499.04+726.016j
2017-03-28 00:00:12.190000 PDT,+1495.52+724.312j
2017-03-28 00:00:12.200000 PDT,+1492+722.608j
2017-03-28 00:00:12.210000 PDT,+1488.48+720.904j
2017-03-28 00:00:12.220000 PDT,+1484.96+719.2j
2017-03-28 00:00:12.230000 PDT,+1481.44+717.496j
2017-03-28 00:00:12.240000 PDT,+1477.93+715.792j
2017-03-28 00:00:12.250000 PDT,+1474.41+714.089j
2017-03-28 00:00:12.260000 PDT,+1470.89+712.385j
2017-03-28 00:00:12.270000 PDT,+1467.37+710.681j
2017-03-28 00:00:12.280000 PDT,+1463.85+708.977j
2017-03-28 00:00:12.290000 PDT,+1460.34+707.273j
2017-03-28 00:00:12.300000 PDT,+1456.82+705.569j
2017-03-28 00:00:12.310000 PDT,+1453.3+703.865j
2017-03-28 00:00:12.320000 PDT,+1449.78+702.161j
2017-03-28 00:00:12.330000 PDT,+1446.26+700.457j
2017-03-28 00:00:12.340000 PDT,+1442.74+698.753j
2017-03-28 00:00:12.350000 PDT,+1439.23+697.049j
2017-03-28 00:00:12.360000 PDT,+1435.71+695.345j
2017-03-28 00:00:12.370000 PDT,+1432.19+693.641j
2017-03-28 00:00:12.380000 PDT,+1428.67+691.937j
2017-03-28 00:00:12.390000 PDT,+1425.15+690.233j
2017-03-28 00:00:12.400000 PDT,+1421.63+688.529j
2017-03-28 00:00:12.410000 PDT,+1418.12+686.825j
2017-03-28 00:00:12.420000 PDT,+1414.6+685.121j
2017-03-28 00:00:12.430000 PDT,+1411.08+683.417j
2017-03-28 00:00:12.440000 PDT,+1407.56+681.713j
2017-03-28 00:00:12.450000 PDT,+1404.04+680.009j
2017-03-28 00:00:12.460000 PDT,+1400.53+678.305j
2017-03-28 00:00:12.470000 PDT,+1397.01+676.601j
2017-03-28 00:00:12.480000 PDT,+1393.49+674.898j
2017-03-28 00:00:12.490000 PDT,+1389.97+673.194j
2017-03-28 00:00:12.500000 PDT,+1386.45+671.49j
2017-03-28 00:00:12.510000 PDT,+1382.93+669.786j
2017-03-28 00:00:12.520000 PDT,+1379.42+668.082j
2017-03-28 00:00:12.530000 PDT,+1375.9+666.378j
2017-03-28 00:00:12.540000 PDT,+1372.38+664.674j
2017-03-28 00:00:12.550000 PDT,+1368.86+662.97j
2017-03-28 00:00:12.560000 PDT,+1365.34+661.266j
2017-03-28 00:00:12.570000 PDT,+1361.82+659.562j
2017-03-28 00:00:12.580000 PDT,+1358.31+657.858j
2017-03-28 00:00:12.590000 PDT,+1354.79+656.154j
2017-03-28 00:00:12.600000 PDT,+1351.27+654.45j
2017-03-28 00:00:12.610000 PDT,+1347.75+652.746j
2017-03-28 00:00:12.620000 PDT,+1344.23+651.042j
2017-03-28 00:00:12.630000 PDT,+1340.72+649.338j
2017-03-28 00:00:12.640000 PDT,+1337.2+647.634j
2017-03-28 00:00:12.650000 PDT,+1333.68+645.93j
2017-03-28 00:00:12.660000 PDT,+1330.16+644.226j
2017-03-28 00:00:12.670000 PDT,+1326.64+642.522j
2017-03-28 00:00:12.680000 PDT,+1323.12+640.818j
2017-03-28 00:00:12.690000 PDT,+1319.61+639.114j
2017-03-28 00:00:12.700000 PDT,+1316.09+637.411j
2017-03-28 00:00:12.710000 PDT,+1312.57+635.707j
2017-03-28 00:00:12.720000 PDT,+1309.05+634.003j
2017-03-28 00:00:12.730000 PDT,+1305.53+632.299j
2017-03-28 00:00:12.740000 PDT,+1302.02+630.595j
2017-03-28 00:00:12.750000 PDT,+1298.5+628.891j
2017-03-28 00:00:12.760000 PDT,+1294.98+627.187j
2017-03-28 00:00:12.770000 PDT,+1291.46+625.483j
2017-03-28 00:00:12.780000 PDT,+1287.94+623.779j
2017-03-28 00:00:12.790000 PDT,+1284.42+622.075j
2017-03-28 00:00:12.800000 PDT,+1280.91+620.371j
2017-03-28 00:00:12.810000 PDT,+1277.39+618.667j
2017-03-28 00:00:12.820000 PDT,+1273.87+616.963j
2017-03-28 00:00:12.830000 PDT,+1270.35+615.259j
2017-03-28 00:00:12.840000 PDT,+1266.83+613.555j
2017-03-28 00:00:12.850000 PDT,+1263.31+611.851j
2017-03-28 00:00:12.860000 PDT,+1259.8+610.147j
2017-03-28 00:00:12.870000 PDT,+1256.28+608.443j
2017-03-28 00:00:12.880000 PDT,+1252.76+606.739j
2017-03-28 00:00:12.890000 PDT,+1249.24+605.035j
2017-03-28 00:00:12.900000 PDT,+1245.72+603.331j
2017-03-28 00:00:12.910000 PDT,+1242.21+601.627j
2017-03-28 00:00:12.920000 PDT,+1238.69+599.923j
2017-03-28 00:00:12.930000 PDT,+1235.17+598.22j
2017-03-28 00:00:12.940000 PDT,+1231.65+596.516j
2017-03-28 00:00:12.950000 PDT,+1228.13+594.812j
2017-03-28 00:00:12.960000 PDT,+1224.61+593.108j
2017-03-28 00:00:12.970000 PDT,+1221.1+591.404j
2017-03-28 00:00:12.980000 PDT,+1217.58+589.7j
2017-03-28 00:00:12.990000 PDT,+1214.06+587.996j
2017-03-28 00:00:13.000000 PDT,+1210.54+586.292j
2017-03-28 00:00:13.010000 PDT,+1207.02+584.588j
2017-03-28 00:00:13.020000 PDT,+1203.5+582.884j
2017-03-28 00:00:13.030000 PDT,+1199.99+581.18j
2017-03-28 00:00:13.040000 PDT,+1196.47+579.476j
2017-03-28 00:00:13.050000 PDT,+1192.95+577.772j
2017-03-28 00:00:13.060000 PDT,+1189.43+576.068j
2017-03-28 00:00:13.070000 PDT,+1185.91+574.364j
