# timestamp,measured_power_C
2009-01-01 00:00:05.080200 PST,+4849.0638-217.98825j
2009-01-01 00:00:05.080400 PST,+4849.1347-218.04062j
2009-01-01 00:00:05.080600 PST,+4849.2142-218.08645j
2009-01-01 00:00:05.080800 PST,+4849.3023-218.12564j
2009-01-01 00:00:05.081000 PST,+4849.3988-218.1581j
2009-01-01 00:00:05.081200 PST,+4849.5036-218.18376j
2009-01-01 00:00:05.081400 PST,+4849.6167-218.20253j
2009-01-01 00:00:05.081600 PST,+4849.738-218.21432j
2009-01-01 00:00:05.081800 PST,+4849.8674-218.21906j
2009-01-01 00:00:05.082000 PST,+4850.0047-218.21665j
2009-01-01 00:00:05.082200 PST,+4850.1499-218.20702j
2009-01-01 00:00:05.082400 PST,+4850.3028-218.19009j
2009-01-01 00:00:05.082600 PST,+4850.4634-218.16576j
2009-01-01 00:00:05.082800 PST,+4850.6314-218.13397j
2009-01-01 00:00:05.083000 PST,+4850.8067-218.09462j
2009-01-01 00:00:05.083200 PST,+4850.9893-218.04765j
2009-01-01 00:00:05.083400 PST,+4851.1789-217.99297j
2009-01-01 00:00:05.083600 PST,+4851.3754-217.93051j
2009-01-01 00:00:05.083800 PST,+4851.5786-217.86019j
2009-01-01 00:00:05.084000 PST,+4851.7885-217.78194j
2009-01-01 00:00:05.084200 PST,+4852.0047-217.69568j
2009-01-01 00:00:05.084400 PST,+4852.2273-217.60134j
2009-01-01 00:00:05.084600 PST,+4852.4559-217.49885j
2009-01-01 00:00:05.084800 PST,+4852.6904-217.38814j
2009-01-01 00:00:05.085000 PST,+4852.9308-217.26914j
2009-01-01 00:00:05.085200 PST,+4853.1766-217.1418j
2009-01-01 00:00:05.085400 PST,+4853.4279-217.00604j
2009-01-01 00:00:05.085600 PST,+4853.6844-216.8618j
2009-01-01 00:00:05.085800 PST,+4853.946-216.70902j
2009-01-01 00:00:05.086000 PST,+4854.2124-216.54765j
2009-01-01 00:00:05.086200 PST,+4854.4834-216.37762j
2009-01-01 00:00:05.086400 PST,+4854.759-216.19889j
2009-01-01 00:00:05.086600 PST,+4855.0388-216.01139j
2009-01-01 00:00:05.086800 PST,+4855.3228-215.81509j
